X,Y
0,100
1,99.9949999
2,99.979998
3,99.9549899
4,99.919968
5,99.8749218
6,99.8198377
7,99.7546991
8,99.6794864
9,99.5941765
10,99.4987437
11,99.3931587
12,99.2773892
13,99.1513994
14,99.0151504
15,98.8685997
16,98.7117014
17,98.5444062
18,98.366661
19,98.178409
20,97.9795897
21,97.7701386
22,97.5499872
23,97.3190629
24,97.0772888
25,96.8245837
26,96.5608616
27,96.2860322
28,96
29,95.7026645
30,95.3939201
31,95.0736557
32,94.7417543
33,94.3980932
34,94.0425436
35,93.67497
36,93.2952303
37,92.9031754
38,92.4986486
39,92.0814857
40,91.6515139
41,91.2085522
42,90.7524104
43,90.2828887
44,89.7997773
45,89.3028555
46,88.7918915
47,88.2666415
48,87.7268488
49,87.1722433
50,86.6025404
51,86.0174401
52,85.416626
53,84.7997642
54,84.1665017
55,83.5164654
56,82.8492607
57,82.1644692
58,81.4616474
59,80.7403245
60,80
61,79.2401413
62,78.460181
63,77.6595133
64,76.8374908
65,75.9934208
66,75.1265599
67,74.2361098
68,73.3212111
69,72.3809367
70,71.4142843
71,70.4201676
72,69.3974063
73,68.3447145
74,67.2606869
75,66.1437828
76,64.9923072
77,63.8043886
78,62.5779514
79,61.3106842
80,60
81,58.6429876
82,57.2363521
83,55.7763391
84,54.2586399
85,52.6782688
86,51.0294033
87,49.3051721
88,47.4973683
89,45.5960525
90,43.5889894
91,41.4608249
92,39.1918359
93,36.7559519
94,34.1174442
95,31.22499
96,28
97,24.3104916
98,19.8997487
99,14.106736
100,0
